city,city_ascii,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id
Finneytown,Finneytown,OH,Ohio,39061,Hamilton,39.2159,-84.5144,12870,1246.6,shape,FALSE,FALSE,America/New_York,3,45231 45224,1840034109
Red Bank,Red Bank,NJ,New Jersey,34025,Monmouth,40.348,-74.0672,12868,2846.1,shape,FALSE,TRUE,America/New_York,2,7701,1840001358
Woodhaven,Woodhaven,MI,Michigan,26163,Wayne,42.132,-83.2374,12867,777.7,shape,FALSE,TRUE,America/Detroit,3,48183,1840001848
Vadnais Heights,Vadnais Heights,MN,Minnesota,27123,Ramsey,45.057,-93.0748,12864,712.5,shape,FALSE,TRUE,America/Chicago,3,55127 55110,1840010004
Salisbury,Salisbury,NY,New York,36059,Nassau,40.7454,-73.5604,12861,2845.2,shape,FALSE,FALSE,America/New_York,2,11590,1840005255
Tehachapi,Tehachapi,CA,California,6029,Kern,35.1276,-118.4744,12855,483.9,shape,FALSE,TRUE,America/Los_Angeles,3,93581 93561,1840021737
Cheney,Cheney,WA,Washington,53063,Spokane,47.4901,-117.579,12848,1142.4,shape,FALSE,TRUE,America/Los_Angeles,3,99004,1840018398
Florida City,Florida City,FL,Florida,12086,Miami-Dade,25.4418,-80.4685,12841,827.8,shape,FALSE,TRUE,America/New_York,3,33034 33035,1840014250
Emeryville,Emeryville,CA,California,6001,Alameda,37.8382,-122.2932,12840,3893.8,shape,FALSE,TRUE,America/Los_Angeles,2,94608 94662,1840020291
Lansdowne,Lansdowne,VA,Virginia,51107,Loudoun,39.0844,-77.4839,12840,1226.2,shape,FALSE,TRUE,America/New_York,3,20147 20176,1840041773
Bloomsburg,Bloomsburg,PA,Pennsylvania,42037,Columbia,41.0027,-76.4561,12836,1139.9,shape,FALSE,TRUE,America/New_York,3,17815,1840000811
